Training_frequency,Sleep_quality,Injury,Training_intensity,Exhaustion,Age,Sleep_quality_causing_exhaustion,Required_recovery_time,Too_much_training,Too_much_training_causing_exhaustion
more_than_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Short,No,No
more_than_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,Yes,Low,No,12_up_to_20,No,Short,No,No
more_than_3_per_week,Poor,No,Low,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Good,Yes,High,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,Yes,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,older_than_35,No,Long,No,No
up_till_3_per_week,Good,No,Low,No,20_up_to_35,No,Short,No,No
up_till_3_per_week,Good,No,High,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Long,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Poor,Yes,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Long,No,No
more_than_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
more_than_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
more_than_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Long,Yes,Yes
up_till_3_per_week,Good,Yes,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,High,Yes,younger_than_12,No,Long,No,Yes
up_till_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,Yes,12_up_to_20,Yes,Short,No,No
more_than_3_per_week,Good,No,High,Yes,younger_than_12,No,Long,Yes,Yes
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Long,No,No
more_than_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
more_than_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Short,No,No
more_than_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Poor,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Long,No,No
up_till_3_per_week,Good,No,High,Yes,12_up_to_20,No,Long,No,Yes
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,Yes,Low,No,20_up_to_35,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,younger_than_12,Yes,Short,No,No
more_than_3_per_week,Poor,No,Low,Yes,younger_than_12,Yes,Long,Yes,Yes
up_till_3_per_week,Poor,No,Low,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Good,Yes,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,High,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,older_than_35,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Long,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,20_up_to_35,No,Short,No,No
more_than_3_per_week,Good,Yes,High,Yes,younger_than_12,No,Long,Yes,Yes
more_than_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Poor,Yes,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Poor,No,High,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Poor,No,High,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
more_than_3_per_week,Good,No,High,Yes,12_up_to_20,Yes,Long,Yes,Yes
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,High,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,Yes,High,No,older_than_35,No,Long,No,No
more_than_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,High,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Poor,No,High,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,20_up_to_35,Yes,Long,No,No
more_than_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
more_than_3_per_week,Good,Yes,Low,Yes,older_than_35,No,Short,No,Yes
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
more_than_3_per_week,Good,No,High,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Good,No,High,No,younger_than_12,No,Long,No,No
up_till_3_per_week,Poor,No,Low,No,12_up_to_20,No,Short,No,No
more_than_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
more_than_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Long,No,No
up_till_3_per_week,Good,Yes,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,Yes,High,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,High,Yes,12_up_to_20,No,Short,No,Yes
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
more_than_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,Yes,younger_than_12,No,Short,No,Yes
up_till_3_per_week,Good,Yes,Low,No,younger_than_12,No,Short,No,No
more_than_3_per_week,Poor,No,Low,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Good,Yes,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
more_than_3_per_week,Poor,No,Low,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
more_than_3_per_week,Poor,No,Low,Yes,younger_than_12,Yes,Short,No,No
more_than_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,younger_than_12,Yes,Short,No,Yes
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Good,No,High,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
more_than_3_per_week,Good,No,Low,Yes,younger_than_12,No,Short,No,Yes
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Poor,No,High,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,High,No,12_up_to_20,No,Long,No,No
up_till_3_per_week,Good,Yes,High,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Good,No,High,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,older_than_35,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Poor,Yes,Low,Yes,older_than_35,Yes,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
more_than_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Short,No,Yes
up_till_3_per_week,Poor,No,High,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Good,No,High,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
more_than_3_per_week,Good,No,High,No,younger_than_12,No,Short,No,No
more_than_3_per_week,Good,No,High,Yes,younger_than_12,Yes,Long,Yes,Yes
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
more_than_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Long,No,No
more_than_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,High,Yes,older_than_35,Yes,Long,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,Yes,older_than_35,No,Short,Yes,Yes
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Long,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Long,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Short,No,Yes
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Good,Yes,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,20_up_to_35,No,Long,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
more_than_3_per_week,Poor,Yes,Low,Yes,older_than_35,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,older_than_35,No,Short,No,No
up_till_3_per_week,Good,No,Low,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Poor,Yes,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,Yes,younger_than_12,Yes,Long,No,No
up_till_3_per_week,Good,No,Low,No,older_than_35,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,High,No,20_up_to_35,No,Long,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,older_than_35,No,Long,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Poor,Yes,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Long,No,No
up_till_3_per_week,Poor,No,High,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,High,Yes,younger_than_12,No,Short,No,Yes
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Short,No,No
more_than_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Short,No,No
more_than_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Poor,No,High,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,Yes,12_up_to_20,No,Long,Yes,Yes
up_till_3_per_week,Poor,No,High,Yes,younger_than_12,Yes,Long,Yes,Yes
up_till_3_per_week,Good,No,High,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,Yes,High,No,20_up_to_35,No,Short,No,No
up_till_3_per_week,Poor,No,High,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,older_than_35,No,Long,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,Yes,High,Yes,12_up_to_20,No,Long,Yes,Yes
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Poor,No,High,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Long,No,No
up_till_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,Yes,Low,Yes,12_up_to_20,No,Short,No,Yes
up_till_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,older_than_35,No,Long,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Long,No,No
more_than_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
more_than_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
more_than_3_per_week,Good,No,Low,No,older_than_35,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
more_than_3_per_week,Good,No,High,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Poor,Yes,High,Yes,12_up_to_20,Yes,Long,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Short,No,No
more_than_3_per_week,Good,No,Low,Yes,younger_than_12,No,Short,No,Yes
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,Yes,Low,Yes,older_than_35,No,Short,No,Yes
up_till_3_per_week,Good,Yes,High,No,older_than_35,No,Short,No,No
up_till_3_per_week,Good,No,Low,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,older_than_35,No,Long,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,Yes,High,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Poor,Yes,Low,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Poor,No,High,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Poor,Yes,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Good,Yes,High,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Poor,Yes,High,Yes,12_up_to_20,Yes,Short,No,No
more_than_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,20_up_to_35,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,Yes,younger_than_12,No,Short,Yes,Yes
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Good,Yes,High,No,younger_than_12,No,Short,No,No
more_than_3_per_week,Good,No,Low,Yes,younger_than_12,No,Short,Yes,Yes
up_till_3_per_week,Poor,No,Low,Yes,younger_than_12,Yes,Short,Yes,Yes
more_than_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Long,No,No
up_till_3_per_week,Poor,No,Low,Yes,younger_than_12,Yes,Long,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,Yes,younger_than_12,No,Short,No,Yes
up_till_3_per_week,Poor,Yes,High,Yes,12_up_to_20,Yes,Long,No,No
more_than_3_per_week,Good,No,Low,Yes,younger_than_12,No,Long,Yes,Yes
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,Yes,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Poor,No,High,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Good,Yes,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,younger_than_12,Yes,Short,No,No
more_than_3_per_week,Good,No,Low,No,20_up_to_35,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
more_than_3_per_week,Good,No,High,Yes,older_than_35,No,Long,Yes,Yes
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
more_than_3_per_week,Good,No,Low,Yes,12_up_to_20,No,Long,Yes,Yes
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,Yes,High,No,12_up_to_20,No,Long,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,High,No,20_up_to_35,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,older_than_35,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,younger_than_12,No,Short,Yes,Yes
more_than_3_per_week,Good,Yes,Low,Yes,older_than_35,No,Long,Yes,Yes
up_till_3_per_week,Good,No,Low,No,older_than_35,No,Short,No,No
up_till_3_per_week,Good,No,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,High,No,older_than_35,No,Long,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,Yes,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
more_than_3_per_week,Poor,No,Low,Yes,younger_than_12,Yes,Short,No,No
more_than_3_per_week,Good,No,Low,Yes,12_up_to_20,No,Long,Yes,Yes
more_than_3_per_week,Good,No,High,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Short,No,No
more_than_3_per_week,Good,Yes,Low,Yes,12_up_to_20,No,Short,No,Yes
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,High,No,younger_than_12,No,Short,No,No
more_than_3_per_week,Good,No,High,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,Yes,younger_than_12,No,Short,Yes,Yes
more_than_3_per_week,Good,No,High,Yes,20_up_to_35,No,Long,Yes,Yes
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
more_than_3_per_week,Poor,Yes,Low,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Poor,No,High,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Good,Yes,Low,Yes,12_up_to_20,No,Long,Yes,Yes
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Long,No,No
up_till_3_per_week,Poor,Yes,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,20_up_to_35,No,Short,No,No
up_till_3_per_week,Good,No,Low,Yes,younger_than_12,No,Short,No,Yes
more_than_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,Yes,Low,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Poor,Yes,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Good,No,High,No,12_up_to_20,No,Long,No,No
up_till_3_per_week,Good,No,High,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,Yes,12_up_to_20,No,Long,No,Yes
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,High,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,High,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Long,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,High,No,younger_than_12,No,Long,No,No
more_than_3_per_week,Good,No,Low,Yes,older_than_35,No,Long,Yes,Yes
up_till_3_per_week,Poor,No,Low,Yes,younger_than_12,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Long,No,No
up_till_3_per_week,Good,No,High,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,High,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Poor,No,High,Yes,younger_than_12,Yes,Long,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,older_than_35,No,Long,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
more_than_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,Yes,younger_than_12,Yes,Short,No,No
more_than_3_per_week,Good,Yes,Low,Yes,younger_than_12,No,Short,No,Yes
up_till_3_per_week,Poor,No,High,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,Yes,younger_than_12,No,Short,No,Yes
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
up_till_3_per_week,Good,No,Low,No,younger_than_12,No,Short,No,No
up_till_3_per_week,Poor,No,Low,Yes,12_up_to_20,Yes,Short,No,No
up_till_3_per_week,Good,No,Low,No,12_up_to_20,No,Short,No,No
